venue_id,name,type,location,
431,Галерея Невограф,CC-ART,C,
432,Музей П.П.Чистякова,TL-MUS,S,
433,Чайный домик Летнего сада,CM-FNB,H,
434,Центр современного искусства при СПбГУ,CC-ART,C,
435,Библиотека Островского,TL-LIB-LOC,C,
436,Hobby-Centre,CC-ALT,S,
437,Александринский театр,CC-PER,H,
438,Стереобар,CM-FNB,C,
439,Дом молодежи Царскосельский,CS-ALL,S,
440,Мир печати,CM-BOK-IND,C,
441,Санкт-Петербургский научный центр РАН,TL-EDU,C,
442,Академическая гимназия СПбГУ,TL-EDU,C,
443,ДК Горького,CS-ALL,C,
444,Павловский парк,CC-ALT,S,
445,Музей Царскосельская коллекция,TL-MUS,S,
446,Клуб Новая линия,TL-LIB-LOC,S,
447,Музей кофе,TL-MUS,C,
448,Молодежный литературный клуб Зеленая кошка,CS-ALL,C,
449,Книжный магазин Мы,CM-BOK-IND,C,
450,Дом молодежи Рекорд,CS-ALL,C,
451,UTKA bar,CM-FNB,C,
452,Центр книги и графики,CC-ART,C,
453,Пушкинский районный дом культуры,CS-ALL,S,
454,ДКиН СПбГУ,CS-ALL,S,
455,Святодуховский центр,CS-ALL,H,
456,Митьки-Вхутемас,CC-ART,C,
457,Школа № 216 им. Мицкевича,TL-EDU,C,
458,Zoom,CM-FNB,C,
459,Библиотека семейного чтения,TL-LIB-LOC,S,
460,Библиотека Красносельского района,TL-LIB-LOC,S,
461,Библиотека Кировского района,TL-LIB-LOC,S,
462,Галерея ПИК-Арт,CC-ART,C,
463,Петергофский студгородок СПбГУ,TL-EDU,S,
464,Музей леса,TL-MUS,S,
465,Чудо-бар,CM-FNB,C,
466,Институт психологии,TL-EDU,C,
467,Научно-методический центр,TL-EDU,C,
468,Центр Петербургская иудаика,CS-ALL,C,
469,Студия Popcorn,CC-ALT,C,
470,Снарк,CM-BOK-IND,S,
471,Детская библиотека Кировского района,TL-LIB-LOC,C,
472,Паб Красный Лев,CM-FNB,C,
473,Ледовый дворец,CC-PER,S,
474,Балтийский медиа-центр,CS-ALL,C,
475,Гостиница Англетер,CC-ALT,H,
476,Университетский центр,TL-EDU,C,
477,ЛенСпецСМУ,CC-ALT,C,
478,Red Club,CM-FNB,C,
479,Дом военной книги,CM-BOK-IND,C,
480,PRE,CC-ALT,C,
481,Трамвайное Депо,CC-ALT,C,
482,Art-cross,CC-ART,C,
483,Музей обороны Ленинграда,TL-MUS,C,
484,Выставочный зал ПРОТВОР,CC-ART,C,
485,Библиотека Никольская,TL-LIB-LOC,C,
486,Кофейня Идеальная чашка,CM-FNB,C,
487,Сайгон,CM-FNB,H,
488,Господин литератор,CM-BOK-IND,C,
489,DaDa,CM-FNB,C,
490,Библиотека Белинского,TL-LIB-LOC,C,
491,Мемориал,CC-ALT,C,
492,Radiobaby,CM-FNB,C,
493,Кухня,CM-FNB,C,
494,Бар Konzas Street,CM-FNB,C,
495,Кочегарка,CC-ALT,S,
496,Inside,CC-ALT,C,
497,Театр Под самой крышей,CC-PER,C,
498,СПбГУКИ,TL-EDU,C,
499,Студклуб СПбГТУ,CS-ALL,C,
500,Краеведческий музей Комарово,TL-MUS,S,
501,club 2012,CC-ALT,C,
502,Дом творчества композиторов,CS-ALL,S,
503,Издательство Петербургский писатель,CS-ALL,C,
504,Театр дождей,CC-PER,C,
505,Галерея 21,CC-ART,C,
506,Rock-кафе,CM-FNB,C,
507,Буржуазия,CC-ALT,C,
508,Doodlebar,CM-FNB,C,
509,Выставочный зал Николаевская 16,CC-ART,C,
510,Библиотека Современник,TL-LIB-LOC,C,
511,Орландина,CC-ALT,C,
512,Подъездной переулок 12,CC-ALT,C,
513,Большой театр кукол,CC-PER,C,
514,Арт-пространство Bye-bye Ballet,CC-ART,C,
515,Сафо,CM-FNB,C,
516,Образовательный центр Дом Бенуа,TL-EDU,C,
517,Детская библиотека № 14,TL-LIB-LOC,C,
518,Балканская площадь,CC-ALT,S,
519,КДЦ Мга,CS-ALL,S,
520,Сеновал,CC-ALT,C,
521,Гуманитарный Университет профсоюзов,TL-EDU,C,
522,Галерея Ликт-Арт,CC-ART,C,
523,Ресторан НАBEERЕЖНАЯ,CM-FNB,C,
524,Театр-хостел Антракт,CC-ALT,C,
525,Арт-пространство Территория Город,CC-ART,C,
526,ZANZA,CM-FNB,C,
527,Кинотеатр Аврора,CC-PER,C,
528,Галерея–Cтудия VIEWZEN,CC-ART,C,
529,Кафе Соло на столе,CM-FNB,C,
530,Дом Кочневой,CC-ART,H,
531,Рускомплект,CC-ALT,C,
532,Самосуд,CM-FNB,C,
533,Route 148,CM-FNB,C,
534,Галерея Мольберт,CC-ART,C,
535,Душ,CC-ALT,C,
536,КнигАрхив,CM-BOK-IND,C,
537,Космонавт,CC-PER,C,
538,весь мир,CC-ALT,C,
539,Чайный клуб Целый мир,CM-FNB,C,
540,Дворец Белосельских-Белозерских,CC-ART,H,
541,Центр молодежных исследований НИУ ВШЭ,TL-EDU,C,
542,Бар мистера Кокошки,CM-FNB,C,
543,Книжный магазин Англия,CM-BOK-IND,C,
544,Гримерка,CC-ALT,C,
545,Галерея Формула,CC-ART,C,
546,Лавочка КнигиПодарки,CM-BOK-IND,C,
547,Line,CC-ALT,C,
548,Кафе драмы и комедии,CM-FNB,C,
549,Кипяток,CM-FNB,C,
550,LAZAREV GALLERY,CC-ART,C,
551,Несуществующий этаж,CC-ALT,C,
552,Малый драматический театр,CC-PER,C,
553,Улитка на склоне,CM-FNB,C,
554,Сити-бар,CM-FNB,C,
555,Детская библиотека истории и культуры,TL-LIB-LOC,C,
556,Театр Балтийский дом,CC-PER,C,
557,Хостел In Touch,CC-ALT,C,
558,Библиотека Серафимовича,TL-LIB-LOC,C,
559,Театр За Черной речкой,CC-PER,C,
560,Петришуле,TL-EDU,H,
561,Шереметевский дворец,CC-ART,H,
562,КЗ Аврора,CC-PER,C,
563,Малая сцена Академии театрального искусства,CC-PER,C,
564,Баракобамабар,CM-FNB,C,
565,Петрович,CM-FNB,C,
566,Insight,CC-ALT,C,
567,Scorpion-club,CC-ALT,C,
568,V-CLUB,CC-ALT,C,
569,Дом Мурузи,TL-MUS,H,
570,Дитрихбар,CM-FNB,C,
571,Sorry mama bar,CM-FNB,C,
572,Ассоциация международного сотрудничества,IC-CEN,C,
573,СПб филиал Московского Дома национальностей,CS-ALL,C,
574,Дуня,CM-FNB,C,
575,Таврический сад,CC-ALT,C,
576,Винотека D.O.C.,CM-FNB,C,
577,Причал на наб. Робеспьера,CC-ALT,C,
578,Арт-мастерская Колесо,CC-ART,C,
579,ГостинкаART,CC-ART,C,
580,Причал на набережной Робеспьера,CC-ALT,C,
581,Креативное пространство Ткачи,CC-ART,C,
582,Школа живописи для чайникофф,CC-ALT,C,
583,Александровский Сад,CC-ALT,H,
584,Crazy Hunter,CM-FNB,C,
585,Эпсилон-бар,CM-FNB,C,
586,Магазин Академкнига,CM-BOK-IND,C,
587,Михайловский замок,CC-ART,H,
588,Причал на Университетской набережной,CC-ALT,C,
589,Третье место,CM-FNB,C,
590,ДК Ленсовета,CS-ALL,C,
591,Скороход,CC-PER,C,
592,Легко-легко,CC-ALT,C,
593,Библиотека у Московских ворот,TL-LIB-LOC,C,
594,Галерея Интерьеры махараджей,CC-ART,C,
595,Доска,CC-ALT,C,
596,Галерея Ультра Марин,CC-ART,C,
597,Дом молодежи Василеостровского района,CS-ALL,C,
598,Клуб автопутешественников,CC-ALT,C,
599,Легкость бытия,CM-FNB,C,
600,Театр на Васильевском,CC-PER,C,
601,МКЗ У Лесного,CC-PER,S,
602,Зал ожидания,CC-PER,C,
603,Библиотека Павловска,TL-LIB-LOC,S,
604,Грязная галерея,CC-ART,C,
605,Тайга,CC-ART,C,
606,Инженерный замок,CC-ART,H,
607,ЦНСИ,TL-EDU,C,
608,Елагин дворец,CC-ART,H,
609,Малый зал ЦВЗ Манеж,CC-ART,C,
610,Пространство Табурет,CC-ALT,C,
611,Петропавловская крепость,CC-ART,H,
612,Дом 7,CC-ALT,C,
613,8pages,CC-ALT,C,
614,Библиотека на Бухарестской,TL-LIB-LOC,S,
615,Ресторан Пьер,CM-FNB,C,
616,Daily,CM-FNB,C,
617,Высшая школа журналистики,TL-EDU,C,
618,КДЦ Красногвардейский,CS-ALL,C,
619,Любимая история,CM-BOK-IND,C,
620,Time cafe СейЧас,CM-FNB,C,
621,Свобода,CC-ALT,C,
622,Библиотека на Морской,TL-LIB-LOC,C,
623,КЦ Каскад,CS-ALL,S,
624,DALI,CM-FNB,C,
625,Датский институт культуры,IC-CEN,C,
626,Музей семьи Бенуа,TL-MUS,S,
627,Филин Гуд,CM-FNB,C,
628,Susanin,CM-FNB,C,
629,Театр комедии им. Акимова,CC-PER,C,
630,Творческое пространство Кипарис,CC-ALT,C,
631,Море,CM-FNB,C,
632,Лофт Rizzordi,CC-ART,C,
633,Четверть,CM-FNB,C,
634,ЦПКиО,CC-ART,C,
635,Причал на Фонтанке 53,CC-ALT,C,
636,Хостел Друзья,CC-ALT,C,
637,Дом молодежи Санкт-Петербурга,CS-ALL,C,
638,Time-cafe Саквояж,CM-FNB,C,
639,Летний читальный зал,TL-LIB-LOC,C,
640,Литераторские мостки,TL-MUS,C,
641,Мастерская Горынина,CC-ART,C,
642,Клуб-клуб-клуб,CC-ALT,C,
643,Крышабар,CM-FNB,C,
644,Лютеранская церковь,CS-ALL,H,
645,JFC-Jazz-club,CC-PER,C,
646,Регал,CM-FNB,C,
647,Смольный Собор,CC-ART,H,
648,БДТ,CC-PER,H,
649,Люксор,CC-PER,S,
650,Камертон,CC-ALT,C,
651,Цыпа,CM-FNB,C,
652,Малая сцена театра Ленсовета,CC-PER,C,
653,Галерея V-concept,CC-ART,C,
654,Книжный дом Глагол,CM-BOK-IND,C,
655,Театр-студия СПбГУ,CC-PER,C,
656,Театр Романа Виктюка,CC-PER,C,
657,ТЮЗ им. Брянцева,CC-PER,C,
658,Achtung baby!,CM-FNB,C,
659,Проходимец,CC-ALT,C,
660,ДК Ижорский,CS-ALL,S,
661,Городской ДК Ломоносова,CS-ALL,S,
662,NAMEGALLERY,CC-ART,C,
663,Ленэкспо,CC-ART,C,
664,Black box theatre,CC-PER,C,
665,New York,CM-FNB,S,
666,Выборгская Сторона,CC-ALT,C,
667,Check Point Cafe,CM-FNB,C,
668,В месте,CC-ALT,C,
669,Камин и кот,CM-FNB,C,
670,Лицей № 90,TL-EDU,C,
671,Ресторан Никольский 8,CM-FNB,C,
672,Harst's Pub,CM-FNB,C,
673,Музей-институт семьи Рерихов,TL-MUS,C,
674,Океанариум,CC-ART,C,
675,Театр Мимигранты,CC-PER,C,
676,Музей связи,TL-MUS,C,
677,Мансарда художников,CC-ART,C,
678,Книжные аллеи у Михайловского замка,CC-ALT,H,
679,Железный лев,CC-ALT,C,
680,Симбиоz,CM-FNB,C,
681,Досуговый клуб Ритм,CS-ALL,S,
682,Старый город,CC-ALT,C,
683,Гостиница-отель Аннушка,CC-ALT,C,
684,А2,CC-PER,C,
685,Книжный магазин Хувентуд,CM-BOK-IND,C,
686,Триэль,CC-ALT,C,
687,Молодёжный центр Эрмитажа,CS-ALL,C,
688,Театр Буфф,CC-PER,C,
689,Жан-Жак,CM-FNB,C,
690,СимбиоZ,CM-FNB,C,
691,Петербургский СКК,CC-PER,S,
692,Лас-Книгас,CM-BOK-IND,C,
693,Библиотека Мамина-Сибиряка,TL-LIB-LOC,S,
694,Дом национальностей,CS-ALL,C,
695,Музей-библиотека Книги блокадного города,TL-MUS,C,
696,Галерея Велес-студио,CC-ART,S,
697,КЦ Троицкий,CS-ALL,C,
698,Галерея Рахманинов Дворик,CC-ART,C,
699,Выставочный зал Смольный,CC-ART,H,
700,Свитер с оленями,CM-FNB,C,
701,Музей истории фотографии,TL-MUS,C,
702,Петербургский художник,CC-ART,C,
703,Клуб-музей Камчатка,TL-MUS,C,
704,Bureau,CC-ART,C,
705,Галерея ФотоДепартамет,CC-ART,C,
706,Ленинград Центр,CC-PER,C,
707,Мансарда,CM-FNB,C,
708,Галерея 2.04,CC-ART,C,
709,Киностудии RWS,CC-ART,C,
710,Арт-отель Рахманинов,CC-ALT,C,
711,Паб Кино,CM-FNB,C,
712,Редакция журнала Невский альманах,CS-ALL,C,
713,Имажинариум,CC-ALT,C,
714,Причал на наб. Макарова,CC-ALT,C,
715,HORROR BAR,CM-FNB,C,
716,Арт-пространство Тайна,CC-ART,C,
717,Русское географическое общество,CS-ALL,C,
718,Музей уличного искусства,TL-MUS,C,
719,Оружейника Фёдорова,CC-ALT,C,
720,Сочи,CM-FNB,C,
721,Кончита-Бонита,CM-FNB,C,
722,Дом Дружбы,CS-ALL,C,
723,Funnydogs,CM-FNB,C,
724,закрытый клуб,CC-ALT,C,
725,Ai,CM-FNB,C,
726,Театральная академия,TL-EDU,C,
727,Центр культурных инициатив Сад,CS-ALL,S,
728,Павловский дворец,CC-ART,H,
729,PinUp,CM-FNB,C,
730,Шведская церковь,CS-ALL,H,
731,Литературное радио,CS-ALL,C,
732,КЦ на Пушкинской 10,CC-ART,C,
733,Галерея Люда,CC-ART,C,
734,Che,CM-FNB,C,
735,Галерея Д-137,CC-ART,C,
736,ДК Кирова,CS-ALL,C,
737,Атриум Мариус Паба,CM-FNB,C,
738,Путевой дворец Петра Первого,TL-MUS,H,
739,Издательство Астрель,CS-ALL,C,
740,Революция,CC-ALT,C,
741,РЫБАПИЛА,CM-FNB,C,
742,f-108,CC-ALT,C,
743,Кинотеатр Прибой,CC-PER,C,
744,Дом семейных торжеств,CS-ALL,C,
745,Театр Зазеркалье,CC-PER,C,
746,Квартирник,CC-ALT,C,
747,Слесарные мастерские МДТ,CC-PER,C,
748,Магазин Индиго,CM-BOK-IND,C,
749,Букбери,CM-BOK-IND,S,
750,Green club,CC-ALT,C,
751,Книжный дом,CM-BOK-IND,C,
752,KOKON Space,CC-ART,C,
753,Театр музкомедии,CC-PER,C,
754,Винный бар Пино,CM-FNB,C,
755,Ломоносовский дом культуры,CS-ALL,S,
756,Vnutri,CC-ALT,C,
757,Белый зал Политеха,CC-PER,C,
758,TimeCraft,CC-ALT,C,
759,Art lab Medovarus,CC-ART,C,
760,Галерея Вереск,CC-ART,C,
761,Печатный двор,TL-MUS,C,
762,Go Gyros,CM-FNB,C,
763,Скотный двор,CC-ALT,C,
764,Библиотека в Выборге,TL-LIB-LOC,S,
765,Выборгский замок,TL-MUS,S,
766,Центр Счастье жизни,CS-ALL,C,
767,Институт истории искусств,TL-EDU,C,
768,Музей советских игровых автоматов,TL-MUS,C,
769,Галерея Art of Foto,CC-ART,C,
770,4friends,CM-FNB,C,
771,Sketchbar,CM-FNB,C,
772,Мастерская Виктора Тихомирова,CC-ART,C,
773,Библиотека Малоохтинская,TL-LIB-LOC,C,
774,Дворец учащейся молодежи,CS-ALL,C,
775,Галерея 14/45,CC-ART,C,
776,Центр М-86,CS-ALL,C,
777,Husky бар,CM-FNB,C,
778,Квартира Кости Кройца,CC-ALT,C,
779,ДПЦ Спасский,CS-ALL,C,
780,horosho,CC-ALT,C,
781,Редакция Петербургского театрального журнала,CS-ALL,C,
782,Музей Юрия Инге,TL-MUS,S,
783,Capella Club,CC-PER,C,
784,Вегетарианское кафе Ауровилль,CM-FNB,C,
785,Шотшоп,CC-ALT,C,
786,Бизнес-Центр Традиция,CC-ALT,C,
787,Молодость,CC-ALT,C,
788,Мука,CM-FNB,C,
789,Вам сюда!,CC-ALT,C,
790,Фонд Иофе,CS-ALL,C,
791,Галерея Арт-Рефлекс,CC-ART,C,
792,The LOFT,CC-ALT,C,
793,Театральный зал Монтессори-школы,CC-PER,C,
794,Тime-кафе Commode,CM-FNB,C,
795,Юсуповский сад,CC-ALT,H,
796,Голова,CC-ALT,S,
797,Книжный магазин Раскольниковъ,CM-BOK-IND,C,
798,Креативный лофт АРТХАТА,CC-ART,C,
799,Пыль,CC-ALT,C,
800,Cook&Geek,CM-FNB,C,
801,Все твои друзья,CC-ALT,C,
802,Studio 212,CC-ART,C,
803,Фотографика,CC-ART,C,
804,Старый Стокер,CM-FNB,C,
805,Мастерская авторского Кофе Аддис,CM-FNB,C,
806,Арт-мансарда 4'33,CC-ART,C,
807,Пространство COM.NATA,CC-ALT,C,
808,Культурный центр Фёдоровского собора,CS-ALL,C,
809,Театр ЦЕХъ,CC-PER,C,
810,Дачники,CM-FNB,C,
811,Галерея стеклянных картин,CC-ART,C,
812,Сухой фонтан,CC-ALT,C,
813,Бездельники,CC-ALT,C,
814,Радиостанция Град Петров,CS-ALL,C,
815,Гостевой дом Чиженька,CC-ALT,C,
816,Всё просто,CC-ALT,C,
817,Малая сцена Театра на Васильевском,CC-PER,C,
818,офис ПАРНАСа,CS-ALL,C,
819,Театральная гостиная Vinci,CC-PER,C,
820,Театр фантастики,CC-PER,C,
821,Пресс-центр Культура,CS-ALL,C,
822,Trashroom,CC-ALT,C,
823,Лекторий Cultura,CC-ALT,C,
824,Black stage,CC-PER,C,
825,Центр китайского языка,TL-EDU,C,
826,Groove,CC-ALT,C,
827,Кофейня Аддис,CM-FNB,C,
828,Holy Water,CM-FNB,C,
829,Музей богемной жизни,TL-MUS,C,
830,Музей Шаляпина,TL-MUS,C,
831,Концептуальный клуб Аврора,CC-ALT,C,
832,Библиотека Гайдара,TL-LIB-LOC,C,
833,Пушкинская 10,CC-ART,C,
834,Архив и библиотека независимого искусства,TL-LIB-MAJ,C,
835,Ленинградская Областная Научная Библиотека,TL-LIB-MAJ,C,
836,Галерея Фотоimage,CC-ART,C,
837,ГОСТИ,CM-FNB,C,
838,Арт-Центр Пушкинская-10,CC-ART,C,
839,Place,CC-ALT,C,
840,Музей,TL-MUS,S,
841,Ленфильм,CC-ART,H,
842,Центр современного искусства им. С.Курёхина,CC-ART,C,
843,Этажи,CC-ART,C,
844,Дом офицеров,CS-ALL,C,
845,Петровский оздоровительный центр,CS-ALL,C,
846,Зона действия,CC-ALT,C,
847,Библиотека им. Лавренева,TL-LIB-LOC,C,
848,Петровский арсенал,TL-MUS,S,
849,Театр Суббота,CC-PER,C,
850,Люмьер-Холл,CC-ART,C,
851,Центральная библиотека Петергофа,TL-LIB-LOC,S,
852,Dead poets bar,CM-FNB,C,
853,Треска,CC-ALT,C,
854,Филиал № 1 ГДБ Пушкина,TL-LIB-LOC,C,
855,Азимут,CC-ALT,C,
856,СПб художественный музей,CC-ART,C,
857,black books bar,CM-FNB,C,
858,Арт-Проспект,CC-ART,C,
859,Колизей,CC-PER,C,
860,Киноцентр Родина,CC-PER,C,
861,ЕОЦ,CS-ALL,C,
862,Мир Печати,CM-BOK-IND,C,